date,likes,comments,shares,content
7月15日下午5:52,"1,593",38,31,北市府的清零D-day快到了，大家都在討論柯式戰法行不行，我不會苛責台北市成為確診榜首，畢竟，二個月來的疫情的控制，全台灣都很厲害。我簡單談二件這二個月被錯誤的連結，這是全世界的防疫經驗值：『普篩沒疫調疫苗非清零』1，普篩沒疫調：普篩就是放棄尋找感染源，進入全境普篩的國家、地區，只是找出可能確診者，加以隔離治療，沒有能力疫調找傳染源了。2，疫苗非清零：施打疫苗，只是降感染、降重症，並不是不染疫，持續有人染疫就是無法清零。歐美在有疫苗之後就不再鼓勵隔離封鎖，以疫苗普及率為前提，就是接受了和疫情共存。3，我認為台灣的民情，目前還是要走清零的路，內部清零、邊境封鎖，開放邊境是等全世界都開放了再說。
7月15日下午4:46,"1,962",94,8,疫情過後，歡迎日本朋友蒞臨台灣觀光，我們也會到日本走走，協助擔任日本振興觀光旅遊產業的側翼！謝謝日本謝謝 #日本台灣交流協會
7月15日下午2:17,"1,718",150,4,有幾個新來的帳號在我這裡邊盧邊討拍，因為內容太無聊，沒什麼興趣理他們，說不定也不是［他們］，是同一個人或公司，公司的可以打卡領錢。#本文測試這幾個無聊帳號他們會迴避還是會報到呢？好刺激喔~
7月15日上午8:45,"2,159",171,204,疫情怎麼控制，雖然是自然科學，但還是有門派之見，現在指揮中心的精準策略，和新北市為首的普篩派（去年是以彰化為基地），就是學界目前雙主流，理論研究我不質疑，但是有沒有效？就看在台灣的實績實證。一，指揮中心的實績是：1，照著指揮中心的［精準疫調匡列隔離］策略執行，以去年到今年五月疫情爆發的一年半，當然是成功的。2，從今年五月中疫情爆發到今天的兩個月，疫情從每日將近800人到現在約20人（剩3%），從全世界的比較來看，也是非常成功的。二，普篩派的成績呢？1，去年的彰化萬人大實驗，陽性率差不多是萬分之一，只是證明當時台灣真的乾淨，沒有黑數，等於普篩不適用用台灣。（我不認為普篩是錯誤，但是當時有醫學研究倫理問題，現在也不適合台灣的武漢肺炎疫情）2，今年疫情爆發後，新北市從喊口號大普篩（新北市人口400萬），根本做不到，還造成恐慌群聚，低調轉向改口廣篩，執行也是有一搭沒一搭，就只有某議員的嘴巴最認真推廣而已。結果新北市和國民黨執政縣市遇到狀況，也是照著指揮中心的步驟指引協助，已經接近零確診，剩下嘴硬的台北市還在爭面子問題。3，現在聯合報還在配合普篩論的談話，我是認為只凸顯文人相輕和聯合報的政治立場而言：一來，全世界沒有一個靠普篩而達到台灣這兩個月的成績，顯然無實證可以讓人放心，更不要說能夠［提早解除三級警戒］，如果實驗失敗，反而擴大疫情、拖延解封。二來，全台灣2300萬人，即使只算雙北戶籍人口700萬人（還不含工作人口），一劑普篩只算300元（市面還有超過1500元的篩劑），那全國做一次是近70億元，雙北做一次是21億元，做了之後還要想進辦法去排除偽陰偽陽的困擾，全國的公務人員都來協助疫調就癱瘓了。而且，可能每一兩週全國再來一次，對台灣這樣超低盛行率的國家來看，絕對是勞民傷財又無效！（另外補充一點，大部分國家是沒有在疫調的，台灣不太可能又普篩，又為了偽陽性在執行疫調）（自由時報境外移入案例的報導，說明三日PCR陰性報告也不是絕對有效，更何況普篩是用快篩劑呢？！）截圖自 #自由時報 #聯合報
7月14日下午6:04,"2,619",166,20,
7月14日下午5:38,375,3,2,#蕪菁雜誌 推薦的［世界大局地圖全解讀］，超大本的工具書！
7月14日上午11:04,874,27,67,公費疫苗 #意願登記、#預約接種 搞不懂？不知道要怎麼申請？好鵬友讓你一次看懂！.【公費疫苗預約流程】.指揮中心公布本次開放資格  符合資格者上網進行「意願登記」收到簡訊通知  在期限內完成正式預約，進行「預約接種」登記  於指定時間地點進行接種 .【如何進行意願登記？】.至 1922 網站，輸入身分證字號與健保卡號：https://1922.gov.tw/vas/.或手機使用「健保快易通APP」進行登記iOS 下載：https://reurl.cc/XWpKl7Android下載：https://reurl.cc/vqoReo.＊本次開放資格為「第9類」與「年滿18歲」的對象＊至 7/15 17:00截止，7/16 起陸續進行簡訊通知.【意願登記完之後呢？】.系統將陸續以「簡訊」通知符合資格的民眾。收到簡訊後，請務必在簡訊中指示的期限內「進行預約」！.【如何進行預約？】.分為 #線上預約 與 #實體預約 兩種管道，選擇自己方便的即可。.【線上預約管道】.1922 網站：https://1922.gov.tw/vas/有三種方式可選：方法一：讀卡機插健保卡+註冊密碼（需讀卡機）方法二：輸入健保APP的OTP認證碼（手機需綁定健保APP）方法三：輸入身分證字號＋健保卡號.或手機使用「健保快易通APP」進行iOS 下載：https://reurl.cc/XWpKl7Android下載：https://reurl.cc/vqoReo.【實體預約管道】.管道一：持健保卡去「四大超商」操作機器預約管道二：持健保卡至「藥局」預約管道三：持健保卡至衛生所預約.#接種疫苗 #提升保護力#群體免疫#還是要持續戴口罩勤洗手
7月14日上午9:13,538,64,1 ,有亮點翻拍自 #中國時報（黨團訂的）
7月14日上午8:48,"1,828",164,69,請教，房東把大間隔小間租，除了分散風險外，本來就是會期待每坪租金坪效比大坪數高的所得效果，侯友宜市長的文化大學百戶鴿舍不就是這樣嗎？現在的小坪數住宅也是總價低，坪價高，很合理啊。這不會是世界特例吧？翻拍自 #聯合報
7月13日下午11:08,479,18,,睡到翻掉的時間又到了
7月13日下午1:42,"1,912",93,52,"除了感謝日本再度支援台灣100萬劑AZ，每次都是把手上現貨以最大比例提高台灣之外。美國對台灣支援的250萬劑莫德納，對照韓國的1.2%到貨量，美日對台灣的同盟關係，盡在不言中。另外，除了中國疫苗之外，全世界主流疫苗，［只有缺貨，沒有商業現貨］！即使台積電、鴻海簽到的BNT也一樣［沒有現貨］。再一次打臉自以為是的現貨派論者，證明現貨派就是中國派。截圖自 #自由時報""文在寅出手敲定2千萬人份莫德納疫苗 僅到貨1.2％引抨擊 - 國際 - 自由時報電子報"" https://news.ltn.com.tw/amp/news/world/breakingnews/3601437"
7月13日上午10:48,"1,081",148,60,從中國國民黨離譜販賣對日戰爭軍裝，我順便來談談一個百年政黨的雙重標準。還記得日前我整理中國國民黨對中國共產黨的百年黨慶新聞稿嗎？當時我提到，造成中國國民黨死傷超過百萬人的中國共產黨，國民黨一個字都不敢批評，今天我再找了一下中國官方的說法，甚至還有這種沾沾自喜屠殺中國國民黨黨軍807萬人的版本，這些都是國民黨的前輩和被強迫從軍的中國人，但是中國國民黨現在都不敢吭一聲。在對日戰爭這邊，國民黨賣軍服的時候還提到當時死亡132萬人，這是國民黨上下對日本一直懷恨在心的主因，馬英九也念念不忘釣魚台，我完全可以理解他們的心態。對中國共產黨和對日本就是不同標準，竟然是中國人屠殺中國人可以原諒遺忘，國際戰爭就抓著不放。國民黨親中反日美的心態，是發自本質和心理的反射動作，假裝不來的。再進一步說，國民黨每天拿著疫情的死亡人數在找民進黨算帳，製造國家恐慌和對立，疫情是看不見的敵人和戰爭，對防疫除了配合中國鎖死BNT的疫苗戰來配合演出，沒有不分朝野共同對抗的意願。而，真的看得到的國共內戰，死傷的國民黨人超過疫情的一萬倍，硬要擠出募款的功能，肉麻當有趣，拿人命當宣傳，這是國民黨支持者的悲哀，也是國家的悲哀。#日前臉書分析貼文https://m.facebook.com/story.php?story_fbid=10215680262879696&id=1835962972
7月13日上午9:24,"1,531",455,52,中國國民黨竟然在販售軍政時期對日抗戰的軍裝戲服，難怪一直污衊日本援助台灣的AZ疫苗，到底是多懷念威權戰爭時期啊。而且，還揹了［英式］武裝帶，咦？！韓粉們不是連［我英學園］都列入禁書嗎？
7月13日上午8:22,834,18,2,慶祝微微解封第一餐，我和螞蟻都吃飼料，而且內用。
7月13日上午2:08,"1,381",68,3,半夜一點被叫起來問數學，這種的我也不會好嘛！
7月12日下午10:31,"3,178",206,156,柯粉部隊果然開始護航柯文哲市長［同志團體］是群居感染的一種問題的說法了，還拿了有愛滋病染疫確診者的新聞來解釋，這種人除了［惡劣］，沒什麼好形容的。這種反智的護航，對同志朋友來說，是雙重打擊、雙重迫害。柯市長防疫政策說的比做得好聽，也一段時間了，要自以為是地惡意攻擊指揮中心、民進黨、總統府，大家也習慣了，現在還要為了自己的失能，擴大打擊面到特定人和特定團體，這就更不道德了。1，前兩天，柯市長才在臉書上說明北市府疫調人員是柯南，［不是每個接觸史都能見光，人性就是疫調最困難的地方］，那他今天特別提出［同志團體］是群聚染疫問題，絕對是讓有同志身份或接觸到同志朋友的疑似患者，反而不敢坦白接觸史。退一萬步好了，即使是講［同住團體］，那他所指的［同住團體］，一樣不會坦白接觸史，雖然沒有人知道同住團體是什麼意思。2，同婚專法通過二年，還有很多未竟之功，到現在也還是存在著大大小小的不平等，我相信多數的同志到現有還不敢、不願意公開自己天生的性傾向，今天柯市長的言論，更加上了武漢肺炎傳播鏈的罪名，讓同志人權又倒退半步。3，不論是台灣或全世界，異性戀的確診者一定更多、非愛滋病的確診者一定最多，疫情起爆點之一的萬華阿公店就是異性戀的違規群聚場合。照著柯粉們的護航，是不是應該請柯市長公開呼籲異性戀團體是群聚感染重點，這應該就是全世界第一個創見了吧！4，任何人有違反三級警戒規範的行為，就是依法處分，如果確診，就是依法隔離框列，和他們是什麼性傾向、什麼團體沒有關係，如果和團體活動有關係，團體一併處分，這個道理應該很簡單才對。5，標籤化特定對象，［一定會造成精準疫調］的困難，過去各機關幾次失言、資訊揭露，都已經付出不小代價，衛福部失言的時候，民眾黨攻擊可沒有小力放軟過。而台北市現在，最需要的，就是［疫調］［疫調］［疫調］！犯錯的就是台北市長，民眾黨的朋友們，用相同標準去勸一勸吧。
7月12日下午6:48,"1,855",50,3,同住團體，叫作［宿舍］！同志團體，叫作［協會］！市長講的是哪一個會是群聚感染風險？！
7月12日下午5:21,"2,949",132,39,以［同志團體］來說明家戶群聚的市長，就知道他腦袋裏同志生活，都是看歧視新聞和自己想像的。用裝的都不長久。
7月12日上午8:48,"1,486",45,,這杯咖啡笑得很開心
7月12日上午6:30,862,35,,半夜有起床看了一下，當時是下半場剛開始1：0，想說回家再來看錄影。結果，睡醒就被一堆臉書的訊息雷了！不過，阿根廷贏美洲杯就好了。
7月11日下午8:12,365,13,,我下星期有六隻可以獸神化，真香！奧茲、亞爾麗塔、服部半藏×3雷米爾、卡麥爾、梅塔特隆感謝官方！#怪物彈珠#XFLAG PARK2021
